,id_depto,grupo_etario,habitantes
842,34056,>65,6806.0
843,34063,12-18,3034.0
844,34063,19-65,9008.0
845,38014,>65,9114.0
846,38021,6-11,31256.0
847,38028,12-18,2816.0
848,38028,19-65,12176.0
849,38094,>65,1298.0
850,38098,6-11,534.0
851,38112,>65,2145.0
852,42014,>65,287.0
853,42021,>65,13782.0
854,42035,12-18,1449.0
855,42035,19-65,9076.0
856,42063,6-11,150.0
857,42077,12-18,720.0
858,42077,19-65,4622.0
859,42084,12-18,50.0
860,42084,19-65,252.0
861,42105,0-5,5292.0
862,42112,12-18,1404.0
863,42112,19-65,6984.0
864,42126,12-18,1375.0
865,42126,19-65,6416.0
866,42133,>65,2364.0
867,42147,12-18,569.0
868,42147,19-65,3352.0
869,42154,>65,1944.0
870,46007,6-11,1645.0
871,46014,6-11,19946.0
872,46021,>65,761.0
873,46042,6-11,6019.0
874,46091,12-18,655.0
875,46091,19-65,3000.0
876,46119,12-18,494.0
877,46119,19-65,2584.0
878,46126,>65,284.0
879,50014,>65,7507.0
880,50028,6-11,31776.0
881,50042,6-11,1305.0
882,50049,>65,23931.0
883,50070,6-11,22679.0
884,50077,>65,2731.0
885,50084,6-11,6608.0
886,50091,6-11,4334.0
887,54007,12-18,6448.0
888,54007,19-65,29300.0
889,54014,0-5,6425.0
890,54028,12-18,44373.0
891,54028,19-65,240805.0
892,54042,6-11,10328.0
893,54084,>65,3367.0
894,54091,0-5,11680.0
895,54098,12-18,7918.0
896,54098,19-65,36162.0
897,54112,12-18,4984.0
898,54112,19-65,18741.0
899,58021,12-18,310.0
900,58021,19-65,1505.0
901,58028,6-11,456.0
902,58035,>65,42144.0
903,58042,6-11,1819.0
904,58049,0-5,1713.0
905,58063,0-5,675.0
906,58077,>65,712.0
907,58098,>65,500.0
908,62021,6-11,14905.0
909,62035,>65,661.0
910,62042,12-18,41788.0
911,62042,19-65,233536.0
912,62063,>65,2031.0
913,62091,6-11,1600.0
914,66014,0-5,832.0
915,66021,12-18,2229.0
916,66021,19-65,10601.0
917,66028,0-5,47812.0
918,66035,>65,3612.0
919,66042,6-11,2580.0
920,66070,6-11,777.0
921,66084,>65,758.0
922,66098,6-11,953.0
923,66105,6-11,962.0
924,66126,0-5,16651.0
925,66147,6-11,5684.0
926,66154,6-11,950.0
927,66161,0-5,909.0
928,70007,6-11,3634.0
929,70014,>65,988.0
930,70021,>65,774.0
931,70028,>65,18003.0
