OBJECTID;Entidad;Objeto;FNA;GNA;NAM;SAG;FDC;IN1;SHAPE_STAr;SHAPE_STLe
4469;0;Departamento;Departamento Ayacucho;Departamento;Ayacucho;Direc. de Geodesia y Catastro;;74007;0,78170093910;5,46068695428
4470;0;Departamento;Comuna 6;Comuna;Comuna 6;Direc. de Catastro;;02042;0,00067335235;0,10926067616
4471;0;Departamento;Departamento 12 de Octubre;Departamento;12 de Octubre;IDE Chaco;;22036;0,25206501675;2,66582700262
4472;0;Departamento;Departamento Tulumba;Departamento;Tulumba;IDE Cordoba;Catastro;14175;0,91347347065;7,98122970614
4473;0;Departamento;Departamento Cruz del Eje;Departamento;Cruz del Eje;IDE Cordoba;Catastro;14028;0,64265328859;4,97861228394
4474;0;Departamento;Departamento Punilla;Departamento;Punilla;IDE Cordoba;Catastro;14091;0,23452817587;3,11923513094
4475;0;Departamento;Departamento Santa María;Departamento;Santa María;IDE Cordoba;Catastro;14147;0,30947641689;4,68839714602
4476;0;Departamento;Departamento Minas;Departamento;Minas;IDE Cordoba;Catastro;14070;0,33736474109;2,75787331840
4477;0;Departamento;Departamento Pocho;Departamento;Pocho;IDE Cordoba;Catastro;14077;0,29098222951;2,85461493921
4478;0;Departamento;Departamento San Alberto;Departamento;San Alberto;IDE Cordoba;Catastro;14126;0,32251814333;3,40648675030
4479;0;Departamento;Departamento Río Segundo;Departamento;Río Segundo;IDE Cordoba;Catastro;14119;0,49031549022;4,20519329173
4480;0;Departamento;Departamento San Justo;Departamento;San Justo;IDE Cordoba;Catastro;14140;1,47262358950;6,65478909976
4481;0;Departamento;Departamento Unión;Departamento;Unión;IDE Cordoba;Catastro;14182;1,04923271580;6,39853340190
4482;0;Departamento;Departamento Tercero Arriba;Departamento;Tercero Arriba;IDE Cordoba;Catastro;14161;0,49196936095;4,87376939499
4483;0;Departamento;Departamento Cerrillos;Departamento;Cerrillos;IDE Salta;;66035;0,04832391380;1,22193111116
4484;0;Departamento;Departamento Río Cuarto;Departamento;Río Cuarto;IDE Cordoba;Catastro;14098;1,79951323245;7,10561319473
4485;0;Departamento;Departamento Tupungato;Departamento;Tupungato;IDE Mendoza;;50126;0,23767530391;2,45223503682
4486;0;Departamento;Departamento Pilagás;Departamento;Pilagás;IGN;;34042;0,30670225163;2,66646969874
4487;0;Departamento;Departamento Laishí;Departamento;Laishí;IGN;;34021;0,32458295970;3,25493277076
4488;0;Departamento;Departamento Pirané;Departamento;Pirané;IGN;;34056;0,77650123046;4,42458129307
4489;0;Departamento;Departamento General Güemes;Departamento;General Güemes;IDE Chaco;;22063;2,30795847842;10,39267408180
4490;0;Departamento;Departamento Valcheta;Departamento;Valcheta;IDE Rio Negro;;62084;2,26095963680;6,38024135903
4491;0;Departamento;Departamento San Antonio;Departamento;San Antonio;IDE Rio Negro;;62077;1,53328271756;8,07578688412
4492;0;Departamento;Departamento 9 de julio;Departamento;9 de julio;IDE Rio Negro;;62049;2,57276935940;6,87695824229
4493;0;Departamento;Departamento Ñorquinco;Departamento;Ñorquinco;IDE Rio Negro;;62056;0,89218509126;4,61114026086
4494;0;Departamento;Departamento 25 de Mayo;Departamento;25 de Mayo;IDE Rio Negro;;62091;2,96444169720;7,52534629087
